TREE_ID,CIVIC_NUMBER,STD_STREET,GENUS_NAME,SPECIES_NAME,CULTIVAR_NAME,COMMON_NAME,ON_STREET_BLOCK,ON_STREET,NEIGHBOURHOOD_NAME,STREET_SIDE_NAME,HEIGHT_RANGE_ID,HEIGHT_RANGE,DIAMETER,DATE_PLANTED,Geom,geo_point_2d,gen_spec,lat,lon,Road
137885,2986,W 7TH AV,ACER,PSEUDOPLATANUS,,SYCAMORE MAPLE,2900,W 7TH AV,KITSILANO,EVEN,6,60-70,33.0,,"{""coordinates"": [-123.17180999992641, 49.265799999379404], ""type"": ""Point""}","49.265799999379404, -123.17180999992641",ACER PSEUDOPLATANUS,49.26579999937941,-123.1718099999264,Residential
5494,3482,W 6TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,3400,W 6TH AV,KITSILANO,EVEN,5,50-60,27.0,,"{""coordinates"": [-123.18146000065842, 49.26678999883973], ""type"": ""Point""}","49.26678999883973, -123.18146000065842",ACER PLATANOIDES,49.26678999883973,-123.18146000065842,Residential
16295,2545,W 15TH AV,ACER,PLATANOIDES,,NORWAY MAPLE,2500,W 15TH AV,KITSILANO,ODD,5,50-60,32.0,,"{""coordinates"": [-123.16370400005968, 49.258443998718285], ""type"": ""Point""}","49.258443998718285, -123.16370400005968",ACER PLATANOIDES,49.258443998718285,-123.16370400005968,Residential
183630,3138,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,3,30-40,12.0,2000-03-17,"{""coordinates"": [-123.17460000045051, 49.268369998915574], ""type"": ""Point""}","49.268369998915574, -123.17460000045051",CARPINUS BETULUS,49.26836999891557,-123.17460000045052,Arterial
183632,3148,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,3,30-40,11.0,2000-03-17,"{""coordinates"": [-123.17485999961131, 49.26836999882345], ""type"": ""Point""}","49.26836999882345, -123.17485999961131",CARPINUS BETULUS,49.26836999882345,-123.17485999961131,Arterial
169119,2668,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,2600,W 4TH AV,KITSILANO,EVEN,3,30-40,9.0,1996-04-15,"{""coordinates"": [-123.16539199957248, 49.268242999069926], ""type"": ""Point""}","49.268242999069926, -123.16539199957248",CARPINUS BETULUS,49.268242999069926,-123.16539199957248,Arterial
183633,3150,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,4,40-50,9.0,2000-03-17,"{""coordinates"": [-123.17498000038759, 49.26836999885863], ""type"": ""Point""}","49.26836999885863, -123.17498000038759",CARPINUS BETULUS,49.26836999885863,-123.1749800003876,Arterial
193410,3347,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,ODD,2,20-30,9.0,,"{""coordinates"": [-123.17862800027125, 49.268593999461594], ""type"": ""Point""}","49.268593999461594, -123.17862800027125",CARPINUS BETULUS,49.2685939994616,-123.17862800027125,Arterial
168210,3336,W 4TH AV,CARPINUS,BETULUS,,EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,3,30-40,10.0,,"{""coordinates"": [-123.17839999944896, 49.26859099920935], ""type"": ""Point""}","49.26859099920935, -123.17839999944896",CARPINUS BETULUS,49.26859099920935,-123.17839999944896,Arterial
3481,3398,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,4,40-50,12.0,,"{""coordinates"": [-123.17880000039828, 49.26840999921774], ""type"": ""Point""}","49.26840999921774, -123.17880000039828",CARPINUS BETULUS,49.26840999921774,-123.17880000039828,Arterial
3479,3398,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,4,40-50,15.0,,"{""coordinates"": [-123.1787099997046, 49.26839999906361], ""type"": ""Point""}","49.26839999906361, -123.1787099997046",CARPINUS BETULUS,49.26839999906361,-123.1787099997046,Arterial
3480,3398,W 4TH AV,CARPINUS,BETULUS,FASTIGIATA,PYRAMIDAL EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,4,40-50,12.0,,"{""coordinates"": [-123.17875999964718, 49.26840999904388], ""type"": ""Point""}","49.26840999904388, -123.17875999964718",CARPINUS BETULUS,49.26840999904388,-123.17875999964718,Arterial
168207,3336,W 4TH AV,CARPINUS,BETULUS,,EUROPEAN HORNBEAM,3300,W 4TH AV,KITSILANO,EVEN,3,30-40,21.75,,"{""coordinates"": [-123.1787450001694, 49.26859799949293], ""type"": ""Point""}","49.26859799949293, -123.1787450001694",CARPINUS BETULUS,49.26859799949293,-123.1787450001694,Arterial
183631,3140,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,1,10-20,11.0,2000-03-17,"{""coordinates"": [-123.17474000020931, 49.268369998661576], ""type"": ""Point""}","49.268369998661576, -123.17474000020931",CARPINUS BETULUS,49.268369998661576,-123.17474000020933,Arterial
183629,3130,W 4TH AV,CARPINUS,BETULUS,FRANS FONTAINE,FRANZ FONTAINE HORNBEAM,3100,W 4TH AV,KITSILANO,EVEN,1,10-20,11.0,2000-03-17,"{""coordinates"": [-123.17448999985307, 49.268369998676064], ""type"": ""Point""}","49.268369998676064, -123.17448999985307",CARPINUS BETULUS,49.268369998676064,-123.17448999985308,Arterial
